,state_name,date,confirmed
636,Connecticut,2020-03-10,2
637,Connecticut,2020-03-11,3
638,Connecticut,2020-03-12,5
639,Connecticut,2020-03-13,8
640,Connecticut,2020-03-14,20
641,Connecticut,2020-03-15,26
642,Connecticut,2020-03-16,41
643,Connecticut,2020-03-17,68
644,Connecticut,2020-03-18,96
645,Connecticut,2020-03-19,159
646,Connecticut,2020-03-20,194
647,Connecticut,2020-03-21,223
648,Connecticut,2020-03-22,327
649,Connecticut,2020-03-23,415
650,Connecticut,2020-03-24,618
651,Connecticut,2020-03-25,875
652,Connecticut,2020-03-26,1012
653,Connecticut,2020-03-27,1291
654,Connecticut,2020-03-28,1524
655,Connecticut,2020-03-29,1993
656,Connecticut,2020-03-30,2571
657,Connecticut,2020-03-31,3128
658,Connecticut,2020-04-01,3557
659,Connecticut,2020-04-02,3824
660,Connecticut,2020-04-03,4915
661,Connecticut,2020-04-04,5276
662,Connecticut,2020-04-05,5675
663,Connecticut,2020-04-06,6906
664,Connecticut,2020-04-07,7781
665,Connecticut,2020-04-08,8781
666,Connecticut,2020-04-09,9784
667,Connecticut,2020-04-10,10538
668,Connecticut,2020-04-11,11510
669,Connecticut,2020-04-12,12035
670,Connecticut,2020-04-13,13381
671,Connecticut,2020-04-14,13989
672,Connecticut,2020-04-15,14753
673,Connecticut,2020-04-16,15884
674,Connecticut,2020-04-17,16809
675,Connecticut,2020-04-18,17550
676,Connecticut,2020-04-19,17962
677,Connecticut,2020-04-20,19815
678,Connecticut,2020-04-21,20360
679,Connecticut,2020-04-22,22469
680,Connecticut,2020-04-23,23100
681,Connecticut,2020-04-24,23921
682,Connecticut,2020-04-25,24582
683,Connecticut,2020-04-26,25269
684,Connecticut,2020-04-27,25997
685,Connecticut,2020-04-28,26312
686,,2020-01-22,0
687,,2020-01-23,0
688,,2020-01-24,0
689,,2020-01-25,0
690,,2020-01-26,0
691,,2020-01-27,0
692,,2020-01-28,0
693,,2020-01-29,0
694,,2020-01-30,0
695,,2020-01-31,0
696,,2020-02-01,0
697,,2020-02-02,0
698,,2020-02-03,0
699,,2020-02-04,0
700,,2020-02-05,0
701,,2020-02-06,0
702,,2020-02-07,0
703,,2020-02-08,0
704,,2020-02-09,0
705,,2020-02-10,0
706,,2020-02-11,0
707,,2020-02-12,0
708,,2020-02-13,0
709,,2020-02-14,0
710,,2020-02-15,0
711,,2020-02-16,0
712,,2020-02-17,0
713,,2020-02-18,0
714,,2020-02-19,0
715,,2020-02-20,0
716,,2020-02-21,0
717,,2020-02-22,0
718,,2020-02-23,0
719,,2020-02-24,0
720,,2020-02-25,0
721,,2020-02-26,0
722,,2020-02-27,0
723,,2020-02-28,0
724,,2020-02-29,0
725,,2020-03-01,0
726,,2020-03-02,0
727,,2020-03-03,0
728,,2020-03-04,0
729,,2020-03-05,0
